Feature 1,Feature 2,Target
0.19732348340646566,0.2867932223903863,1
0.27612742796321843,0.6641526847715755,1
0.5138972291686484,0.6720634448680012,1
0.3755912026662301,0.719687363507451,0
0.25837447733759117,0.580868888355324,1
0.6625991900819106,0.253436326958949,1
0.43683980917380055,0.6971723692910949,1
0.4522291171158596,0.17490815815786095,1
0.4930430627829554,0.6923472475598456,0
0.38164296459642255,0.6583375655888377,1
0.20652056956448056,0.6821417835891579,0
0.6415600240660619,0.09184480288765096,1
0.5740547415234686,0.35638184700226133,0
0.3708831241021881,0.36240623105491987,1
0.11422499161146693,0.6005943172845265,1
0.3578622532991743,0.24255435053524838,0
0.8446697959946691,0.31239140871172155,1
0.5144222548764104,0.2361202191159335,1
0.7486415667689781,0.3880885751734744,1
0.1914421290156864,0.7384196294343832,1
0.5223141055285714,0.263596829926172,1
0.54710511916165,0.6136938508896725,1
0.7247541006397984,0.36970345005385596,0
0.7470471553311095,0.6123159391186725,1
0.11234537558554547,0.19830570948392834,0
0.61206730802675,0.39137760963278845,0
0.8162200094557197,0.3742773109000782,1
0.393718336108697,0.4975832802891521,0
0.6053411824136078,0.5143733658970722,1
0.7720268235207606,0.8911156888833422,0
0.49979040430010674,0.4033604476195509,0
0.38170398677646594,0.2500172596349175,1
0.3529287792520995,0.2312920570429795,0
0.12468091922209518,0.08262027957024476,0
0.8067390765008831,0.7358625682507836,0
0.5228519929511098,0.49065489681619534,1
0.738920031530752,0.2992283332695764,0
1.0,0.09579221487736295,1
0.3419547560167333,0.4624395708974354,0
0.35068002635815243,0.1379621056430509,1
0.40178854704937794,0.13575864903067755,0
0.3807034529707319,0.17482216236905876,1
0.7788712594787202,0.5756551179352367,1
0.6210611186190543,0.3919522721787619,1
0.6830244449401757,0.33785445715366985,0
0.25944167633387766,0.45675177953630686,1
0.6526274073345626,0.4705962387674043,0
0.6272628296026136,0.19925212223479924,0
0.688339292249486,0.19909739147138597,0
0.9327729202671511,0.13950985678244388,1
0.08454283357765041,0.2908469821415145,1
0.10184920426416699,0.8429010788229656,0
0.2653473106171001,0.5823423003484574,0
0.6809266782875796,0.45861220811709763,0
0.3237193110957617,0.7366587671589877,0
0.7160624639709551,0.4275507537565293,1
0.3139334996374988,0.8341405413526524,0
0.6643174724133427,0.49868963158822444,0
0.5130836741098327,0.08173760136764252,1
0.6841579929922603,0.6054756163349244,1
0.8131441994030237,0.3896639919290828,1
0.7214660563287365,0.4613252842606349,1
0.4670851962988028,0.19527932291474753,1
0.4125407184940086,0.5718160676695415,0
0.6852291441486744,0.7709996264343442,1
0.18916391362180096,0.19512211183225975,0
0.6892740717858685,0.6258384628005236,0
0.6833774207940796,0.5142397457235168,1
0.3747931615971184,0.2509395537949859,0
0.40552887022094186,0.5836870831385343,0
0.7744934516156909,0.6178180892762539,1
0.17852531731625804,0.7366310347073428,0
