x,y,class
159.71767022272996,391.7397596107626,0
241.12492752858788,396.82533735772023,0
205.8159566581611,423.4621097058522,0
223.24321968056387,345.91563760932473,0
178.92564261638472,416.88490377884364,0
160.77546948545535,350.90546255654306,0
208.38086466947743,362.4816587168838,0
184.91694869766988,350.07302221408224,0
208.63957311464426,366.07952629995316,0
182.16785200114495,327.22456233475714,0
180.39922127488475,351.00995330852976,0
158.7211876347621,320.55314476949275,0
166.17302108198552,316.70962811455763,0
185.49874604612057,328.45176166056376,0
175.10072885983683,371.71479403354647,0
549.3532208336335,415.53738415043307,0
524.6228992302296,391.64843755431343,0
570.2167625502263,357.6666208997899,0
526.8797000167222,398.825102330663,0
571.8910777241979,314.0536463271184,0
580.4474488843041,379.2680457084545,0
625.1490731090837,333.2241873671564,0
588.5120141669051,348.32470654176734,0
610.9640649492618,361.81778520363446,0
637.227597836152,360.9945628398176,0
607.8097315712075,312.5380322193396,0
626.7760491031767,345.9789158154955,0
618.1162060986317,320.7865165877598,0
641.8408748834312,366.96474080534927,0
592.136160108728,345.2441726543798,0
628.9950512362651,267.7803338177736,0
364.28161863119925,332.0621354415956,0
311.62795752521134,291.0002866618727,0
280.73507098597486,368.75868262000324,0
328.31570819161936,298.84401675697524,0
287.5823015873265,280.42380967854376,0
350.4438712514335,322.9393799495764,0
341.593491449742,302.29332267449297,0
341.45093226699385,272.0601102338782,0
371.29217028469964,247.6054156733363,0
364.6268251411983,232.18316663229,0
330.7253287626235,206.2791485416663,0
371.91663408622037,227.43744908426845,0
370.0854432204014,227.58662191618646,0
358.7556699816359,174.5724896215096,0
353.45875964153265,250.44882452853318,0
204.07348812368286,96.87574665902969,0
198.80778377216095,135.05553886645816,0
255.04162745530957,56.31704433754146,0
214.42587440070923,76.1477843208906,0
201.33162457966833,86.4419370812459,0
275.5477584983124,122.19286723531366,0
277.56704784911676,76.05014574689153,0
332.0790506720974,107.76845042466437,0
368.59883603387965,112.69418116462111,0
373.9837550000388,72.84671111132093,0
411.42179269441357,122.71929566359165,0
378.4911670370078,113.56581465733404,0
562.0233776146838,105.63042211625088,0
561.4293893651902,104.22698263743308,0
554.4092787459945,138.54219393883108,0
594.6965760339133,152.7639663033267,0
596.7474627492089,156.63700696640825,0
553.2461697957295,164.46970003159828,0
581.034836707112,152.0621744016505,0
535.4157531650312,166.55919565973846,0
564.2671623824845,194.46484038387223,0
539.75756526736,200.38313275808235,0
583.3923666632402,216.88545804503747,0
466.57699662904315,346.1484095065541,1
471.82877339356656,349.569637105397,1
463.7007782900857,352.73362559563043,1
431.2945199253299,360.20245743824944,1
490.50451553709445,300.88793555902794,1
467.06046020169794,307.0949204433092,1
526.8098513036363,303.92905684265526,1
473.1594932931292,290.43282886079913,1
516.0962286062247,331.40579260205016,1
502.28815200263585,322.2657646910418,1
520.4886917709267,292.60798111626093,1
264.82209782506305,370.0175190890718,1
274.9573411909198,359.0720968278148,1
305.93799971536055,305.591377468509,1
256.21823187877385,332.5834510617967,1
247.80085651128277,301.56027261556517,1
238.09676833412647,257.64911522008964,1
215.29009241527638,324.52372729267285,1
196.1333124119078,248.15874999319155,1
178.39967535351815,290.0815420490271,1
242.33720907409392,302.077387720949,1
167.9599078103863,271.9244433659542,1
194.92918127912975,223.48138616922841,1
140.16323709679662,248.23757290524503,1
126.30307342512329,271.59706729954297,1
124.83524765130085,259.50515294102684,1
186.65474721913722,238.55899708058644,1
149.93520043134183,285.3162016786938,1
221.00434129662932,28.935224847312952,1
209.38944852464815,96.66101586106964,1
217.55222965022745,13.14067478035605,1
249.5923190925264,41.95107725878347,1
222.04689497318063,69.41411402106922,1
268.3974640747878,42.270115825113464,1
275.3281632120018,66.29808490200583,1
373.63147410970475,85.25756840934241,1
325.4527137083857,102.72485603720486,1
335.2393787180076,52.73317850921046,1
370.91531197540706,-6.4587958262524126,1
376.51054256139525,6.498673067837672,1
389.3661841057049,26.31876562593851,1
393.9318388046412,65.5917918329319,1
413.69769299688664,86.44188078352039,1
443.3782489857255,200.33606839996855,1
508.5945399122396,225.22220083884798,1
457.03080927951817,233.12388771731855,1
496.75705006770846,242.78789844848563,1
510.63045884461894,192.00243823346204,1
497.61444664212087,156.26902957447572,1
500.3724228686649,164.0871666437415,1
494.5438643701495,145.31859910962845,1
469.53876066573343,130.41811275782112,1
493.65665855369696,121.80120845109678,1
547.4920207485387,143.77206150068474,1
512.5638333458776,143.05549407889038,1
482.30008827220416,141.02541130118618,1
479.03798586439694,150.28718389897136,1
519.454008606783,118.85613305914751,1
330.59730730004935,175.329392244931,1
354.7298321738353,150.62077636720716,1
309.5482175040501,169.28048239192447,1
319.8338839542573,200.49607898088215,1
343.5845714394206,180.7882017330378,1
277.91996094501053,159.65087209116297,1
302.5048033427671,179.16842367463715,1
324.283492111256,196.94761402985256,1
293.0047458984007,174.36522185089018,1
240.88482169518966,188.03246816469664,1
213.58339439905933,228.45071901631678,1
199.64305323724219,199.16852088866466,1
217.9387498955756,202.01400471644172,1
207.38904983408187,196.4105631994006,1
216.44434151913947,208.7155154631755,1
202.0644799184295,221.13029287179847,1
247.0742840545708,179.8433290146807,1
201.5913287813766,198.8566663461616,1
536.2144796612097,260.4834952705969,1
535.6572731504343,326.981470246232,1
515.5314908314971,289.53216656654706,1
572.7006065321224,310.02914880609404,1
529.1822341418118,257.8516736325622,1
536.1716374953448,215.12900755959765,1
481.8723889314192,262.8131875000007,1
581.9912711332298,297.27396594691675,1
581.5012890420865,246.20735058257847,1
641.2660434824217,267.4631227340826,1
612.3465434870167,259.2810103279221,1
646.9247455779517,203.58527124744944,1
634.1564326241761,234.66029172682778,1
588.9051929706987,248.01890639055551,1
144.3987081554272,156.101239400429,0
132.73925041736106,200.61258638256027,0
178.01367443849196,166.40374741999972,0
164.93965243393677,171.3337353034163,0
165.9167214065205,170.87994554845687,0
224.79341789153676,201.91818768435144,0
251.97983308461534,178.35648757458864,0
193.152214052693,218.62198541582597,0
242.19327923852705,185.23262565519468,0
248.56805698791,144.4718036476388,0
496.83435524473276,82.54003143647361,0
513.0673603536092,43.094086450322095,0
488.94908367059264,70.38586383600102,0
521.9278273066258,-8.602675152432312,0
518.7429606029219,81.41168830026663,0
481.30287976513785,80.16538389696893,0
463.37518128273234,117.9241693095338,0
477.5143987152717,80.27848829445986,0
505.1109001333147,131.57441914983184,0
488.09524272364223,125.75775565729833,0
